,Zip,City,State,Latitude,Longitude,2010 Census Population,Distance from Reactor,Reactor_lat,Reactor_lng
26873,72729,Evansville,AR,35.797242,-94.47662,280.0,122.74117428481749,35.330898,-93.247162
20410,72749,Morrow,AR,35.864399,-94.43534,84.0,122.75738976009877,35.330898,-93.247162
6154,72626,Cotter,AR,36.276949,-92.53279,1243.0,123.39315332031805,35.330898,-93.247162
13846,72704,Fayetteville,AR,36.096998,-94.2486,21336.0,124.2604332437738,35.330898,-93.247162
12477,72012,Beebe,AR,35.095774,-91.90635999999999,11986.0,124.62064092468891,35.330898,-93.247162
29249,72065,Hensley,AR,34.52109,-92.29743,5207.0,124.95912259457002,35.330898,-93.247162
3468,72644,Lead Hill,AR,36.424285999999995,-92.925,2253.0,125.0350500773676,35.330898,-93.247162
3469,72644,Lead Hill,AR,36.424285999999995,-92.925,15.0,125.0350500773676,35.330898,-93.247162
30054,74959,Spiro,OK,35.247209000000005,-94.62105,6736.0,125.08267418816148,35.330898,-93.247162
13735,72128,Poyen,AR,34.32012,-92.63984,814.0,125.35978849901717,35.330898,-93.247162
8817,72176,Ward,AR,35.008528999999996,-91.92244000000001,8141.0,125.67271468612402,35.330898,-93.247162
17290,72179,Wilburn,AR,35.505158,-91.87084,450.0,126.25403434987999,35.330898,-93.247162
2055,72632,Eureka Springs,AR,36.392122,-93.7476,4449.0,126.36576167063826,35.330898,-93.247162
24017,71952,Langley,AR,34.29627,-93.83655999999999,145.0,127.04579100380697,35.330898,-93.247162
17419,72744,Lincoln,AR,35.954696999999996,-94.42735,5343.0,127.25784940414589,35.330898,-93.247162
14374,72635,Gassville,AR,36.297345,-92.48429,3624.0,127.63326822298203,35.330898,-93.247162
420,72762,Springdale,AR,36.186059,-94.1937,35342.0,127.85389933186207,35.330898,-93.247162
18235,72142,Scott,AR,34.689349,-92.07791999999999,2499.0,128.2128219635684,35.330898,-93.247162
3090,74953,Poteau,OK,35.052793,-94.61829,11632.0,128.4156745873691,35.330898,-93.247162
21404,72129,Prattsville,AR,34.330808000000005,-92.54349,1409.0,128.45882913304897,35.330898,-93.247162
32759,72745,Lowell,AR,36.247575,-94.11371,11376.0,128.48679790784757,35.330898,-93.247162
11881,72085,Letona,AR,35.362742,-91.8275,220.0,128.8482593871276,35.330898,-93.247162
13499,72658,Norfork,AR,36.193278,-92.29361999999999,1685.0,128.87109376791142,35.330898,-93.247162
23777,71950,Kirby,AR,34.251107,-93.76005,875.0,128.91858121665317,35.330898,-93.247162
3034,72630,Diamond City,AR,36.461304999999996,-92.91702,197.0,129.205751197421,35.330898,-93.247162
20216,72668,Peel,AR,36.427510999999996,-92.76948,521.0,129.34987273016844,35.330898,-93.247162
7147,72660,Oak Grove,AR,36.492129,-93.3744,524.0,129.6711096956941,35.330898,-93.247162
4257,72121,Pangburn,AR,35.432905,-91.81900999999999,2704.0,130.00952952156086,35.330898,-93.247162
10792,74951,Panama,OK,35.172259000000004,-94.67008,1504.0,130.44584811434058,35.330898,-93.247162
18272,72619,Bull Shoals,AR,36.380815000000005,-92.5856,1936.0,131.12885303521614,35.330898,-93.247162
12960,72102,McRae,AR,35.125583,-91.82508,2873.0,131.2107468165221,35.330898,-93.247162
3152,72523,Concord,AR,35.648717,-91.84428,1091.0,131.87750746875955,35.330898,-93.247162
7715,72519,Calico Rock,AR,36.132092,-92.16638,3150.0,132.15278104224925,35.330898,-93.247162
571,74936,Gans,OK,35.392525,-94.70368,1153.0,132.2966134199705,35.330898,-93.247162
32069,74937,Heavener,OK,34.866896999999994,-94.58622,5959.0,132.33661134942744,35.330898,-93.247162
11548,72631,Eureka Springs,AR,36.443321999999995,-93.77474000000001,3709.0,132.55349051425725,35.330898,-93.247162
